时间(s),器件类型,中心温度(℃),引脚温度(℃)
145.85,塑封芯片,176.78,183.05
145.85,陶封芯片,179.9,183.05
146.24,贴片电阻,187.02,187.19
146.24,贴片电容,185.39,187.19
146.24,塑封芯片,179.28,187.19
146.24,陶封芯片,184.59,187.19
146.63,贴片电阻,184.21,184.36
146.63,贴片电容,182.44,184.36
146.63,塑封芯片,178.62,184.36
146.63,陶封芯片,180.93,184.36
147.02,贴片电阻,184.25,186.94
147.02,贴片电容,185.16,186.94
147.02,塑封芯片,181.62,186.94
147.02,陶封芯片,183.27,186.94
147.41,贴片电阻,186.01,188.07
147.41,贴片电容,187.11,188.07
147.41,塑封芯片,180.57,188.07
147.41,陶封芯片,184.7,188.07
147.8,贴片电阻,185.14,186.27
147.8,贴片电容,185.79,186.27
147.8,塑封芯片,179.89,186.27
147.8,陶封芯片,181.93,186.27
148.19,贴片电阻,182.76,185.64
148.19,贴片电容,183.23,185.64
148.19,塑封芯片,179.09,185.64
148.19,陶封芯片,180.96,185.64
148.58,贴片电阻,186.0,187.24
148.58,贴片电容,185.1,187.24
148.58,塑封芯片,181.86,187.24
148.58,陶封芯片,185.17,187.24
148.97,贴片电阻,182.7,184.79
148.97,贴片电容,182.74,184.79
148.97,塑封芯片,178.65,184.79
148.97,陶封芯片,181.71,184.79
149.36,贴片电阻,180.55,181.88
149.36,贴片电容,181.46,181.88
149.36,塑封芯片,174.04,181.88
149.36,陶封芯片,177.02,181.88
149.76,贴片电阻,181.93,182.61
149.76,贴片电容,182.52,182.61
149.76,塑封芯片,174.86,182.61
149.76,陶封芯片,179.25,182.61
150.15,贴片电阻,178.66,181.48
150.15,贴片电容,178.71,181.48
150.15,塑封芯片,174.89,181.48
150.15,陶封芯片,179.34,181.48
150.54,贴片电阻,180.69,182.69
150.54,贴片电容,180.08,182.69
150.54,塑封芯片,176.49,182.69
150.54,陶封芯片,179.4,182.69
150.93,贴片电阻,182.69,184.74
150.93,贴片电容,183.23,184.74
150.93,塑封芯片,178.52,184.74
150.93,陶封芯片,180.59,184.74
151.32,贴片电阻,180.21,180.53
151.32,贴片电容,177.85,180.53
151.32,塑封芯片,173.3,180.53
151.32,陶封芯片,177.0,180.53
151.71,贴片电阻,187.81,188.82
151.71,贴片电容,186.29,188.82
151.71,塑封芯片,182.27,188.82
151.71,陶封芯片,186.72,188.82
152.1,贴片电阻,179.09,181.61
152.1,贴片电容,181.58,181.61
152.1,塑封芯片,173.8,181.61
152.1,陶封芯片,177.69,181.61
152.49,贴片电阻,182.68,185.45
152.49,贴片电容,184.5,185.45
152.49,塑封芯片,178.84,185.45
152.49,陶封芯片,181.8,185.45
152.88,贴片电阻,185.53,186.99
152.88,贴片电容,184.03,186.99
152.88,塑封芯片,179.81,186.99
152.88,陶封芯片,184.71,186.99
153.27,贴片电阻,180.39,182.14
153.27,贴片电容,182.12,182.14
153.27,塑封芯片,175.99,182.14
153.27,陶封芯片,178.84,182.14
153.67,贴片电阻,188.36,189.05
153.67,贴片电容,188.79,189.05
153.67,塑封芯片,182.42,189.05
153.67,陶封芯片,185.53,189.05
154.06,贴片电阻,179.56,180.94
154.06,贴片电容,180.44,180.94
154.06,塑封芯片,173.56,180.94
154.06,陶封芯片,177.59,180.94
154.45,贴片电阻,179.77,182.51
154.45,贴片电容,181.8,182.51
154.45,塑封芯片,176.4,182.51
154.45,陶封芯片,178.55,182.51
154.84,贴片电阻,183.99,186.78
154.84,贴片电容,185.24,186.78
154.84,塑封芯片,179.35,186.78
154.84,陶封芯片,184.06,186.78
155.23,贴片电阻,181.58,183.38
155.23,贴片电容,180.51,183.38
155.23,塑封芯片,175.41,183.38
155.23,陶封芯片,179.96,183.38
155.62,贴片电阻,180.73,183.5
155.62,贴片电容,181.77,183.5
155.62,塑封芯片,177.54,183.5
155.62,陶封芯片,179.09,183.5
156.01,贴片电阻,182.43,182.64
156.01,贴片电容,180.27,182.64
156.01,塑封芯片,177.2,182.64
156.01,陶封芯片,180.52,182.64
156.4,贴片电阻,186.05,186.7
156.4,贴片电容,186.21,186.7
156.4,塑封芯片,179.98,186.7
156.4,陶封芯片,184.38,186.7
156.79,贴片电阻,183.7,185.49
156.79,贴片电容,182.8,185.49
156.79,塑封芯片,179.44,185.49
156.79,陶封芯片,181.19,185.49
157.18,贴片电阻,182.89,184.06
157.18,贴片电容,182.57,184.06
157.18,塑封芯片,178.3,184.06
157.18,陶封芯片,181.53,184.06
157.58,贴片电阻,181.05,182.65
157.58,贴片电容,179.9,182.65
157.58,塑封芯片,175.94,182.65
157.58,陶封芯片,180.12,182.65
157.97,贴片电阻,185.2,187.56
157.97,贴片电容,186.79,187.56
157.97,塑封芯片,180.34,187.56
157.97,陶封芯片,182.61,187.56
158.36,贴片电阻,186.91,189.02
158.36,贴片电容,188.06,189.02
158.36,塑封芯片,183.95,189.02
158.36,陶封芯片,185.8,189.02
158.75,贴片电阻,187.49,187.69
158.75,贴片电容,186.87,187.69
158.75,塑封芯片,181.2,187.69
158.75,陶封芯片,183.46,187.69
159.14,贴片电阻,180.34,182.84
159.14,贴片电容,180.98,182.84
159.14,塑封芯片,176.26,182.84
159.14,陶封芯片,180.65,182.84
159.53,贴片电阻,189.67,190.37
159.53,贴片电容,189.84,190.37
159.53,塑封芯片,183.4,190.37
159.53,陶封芯片,185.45,190.37
159.92,贴片电阻,188.13,189.15
159.92,贴片电容,188.04,189.15
159.92,塑封芯片,183.37,189.15
159.92,陶封芯片,184.35,189.15
160.31,贴片电阻,186.64,188.94
160.31,贴片电容,188.31,188.94
160.31,塑封芯片,182.73,188.94
160.31,陶封芯片,186.29,188.94
160.7,贴片电阻,187.13,188.49
160.7,贴片电容,186.15,188.49
160.7,塑封芯片,181.79,188.49
160.7,陶封芯片,186.03,188.49
161.09,贴片电阻,188.42,191.01
161.09,贴片电容,189.92,191.01
161.09,塑封芯片,183.58,191.01
161.09,陶封芯片,186.66,191.01
161.49,贴片电阻,187.39,188.8
161.49,贴片电容,187.02,188.8
161.49,塑封芯片,181.49,188.8
161.49,陶封芯片,185.1,188.8
161.88,贴片电阻,184.63,185.17
161.88,贴片电容,183.63,185.17
161.88,塑封芯片,179.36,185.17
161.88,陶封芯片,181.94,185.17
162.27,贴片电阻,185.77,187.36
162.27,贴片电容,186.55,187.36
162.27,塑封芯片,181.99,187.36
162.27,陶封芯片,182.41,187.36
162.66,贴片电阻,188.87,191.44
162.66,贴片电容,188.79,191.44
162.66,塑封芯片,184.52,191.44
162.66,陶封芯片,188.37,191.44
163.05,贴片电阻,181.38,183.5
163.05,贴片电容,181.22,183.5
163.05,塑封芯片,176.24,183.5
163.05,陶封芯片,181.25,183.5
163.44,贴片电阻,186.35,189.3
163.44,贴片电容,189.14,189.3
163.44,塑封芯片,182.51,189.3
163.44,陶封芯片,185.58,189.3
163.83,贴片电阻,182.57,183.36
163.83,贴片电容,181.75,183.36
163.83,塑封芯片,175.96,183.36
163.83,陶封芯片,179.5,183.36
164.22,贴片电阻,180.98,183.69
164.22,贴片电容,180.89,183.69
164.22,塑封芯片,176.01,183.69
164.22,陶封芯片,180.53,183.69
164.61,贴片电阻,185.15,187.54
164.61,贴片电容,187.06,187.54
164.61,塑封芯片,181.89,187.54
164.61,陶封芯片,184.42,187.54
165.0,贴片电阻,184.46,186.31
165.0,贴片电容,185.06,186.31
165.0,塑封芯片,180.18,186.31
165.0,陶封芯片,184.23,186.31
165.4,贴片电阻,186.85,188.46
165.4,贴片电容,185.59,188.46
165.4,塑封芯片,183.44,188.46
165.4,陶封芯片,186.22,188.46
165.79,贴片电阻,189.24,191.24
165.79,贴片电容,188.39,191.24
165.79,塑封芯片,185.97,191.24
165.79,陶封芯片,188.12,191.24
166.18,贴片电阻,183.77,184.04
166.18,贴片电容,181.86,184.04
166.18,塑封芯片,176.88,184.04
166.18,陶封芯片,181.59,184.04
166.57,贴片电阻,189.49,190.05
166.57,贴片电容,187.26,190.05
166.57,塑封芯片,183.21,190.05
166.57,陶封芯片,186.66,190.05
166.96,贴片电阻,189.69,190.91
166.96,贴片电容,188.51,190.91
166.96,塑封芯片,183.13,190.91
166.96,陶封芯片,186.17,190.91
167.35,贴片电阻,182.04,182.97
167.35,贴片电容,182.53,182.97
167.35,塑封芯片,177.38,182.97
167.35,陶封芯片,179.02,182.97
167.74,贴片电阻,184.53,186.61
167.74,贴片电容,186.05,186.61
167.74,塑封芯片,180.43,186.61
167.74,陶封芯片,182.51,186.61
168.13,贴片电阻,183.34,185.81
168.13,贴片电容,184.56,185.81
168.13,塑封芯片,178.23,185.81
168.13,陶封芯片,183.65,185.81
168.52,贴片电阻,181.19,183.53
168.52,贴片电容,182.04,183.53
168.52,塑封芯片,176.73,183.53
168.52,陶封芯片,179.82,183.53
168.91,贴片电阻,185.89,185.89
168.91,贴片电容,185.35,185.89
168.91,塑封芯片,180.02,185.89
168.91,陶封芯片,181.49,185.89
169.31,贴片电阻,187.96,190.66
169.31,贴片电容,188.96,190.66
169.31,塑封芯片,185.04,190.66
169.31,陶封芯片,186.72,190.66
169.7,贴片电阻,185.26,186.33
169.7,贴片电容,186.08,186.33
169.7,塑封芯片,178.98,186.33
169.7,陶封芯片,183.45,186.33
170.09,贴片电阻,185.12,187.43
170.09,贴片电容,186.8,187.43
170.09,塑封芯片,180.26,187.43
170.09,陶封芯片,185.03,187.43
170.48,贴片电阻,190.63,193.11
170.48,贴片电容,192.75,193.11
170.48,塑封芯片,186.01,193.11
170.48,陶封芯片,191.08,193.11
170.87,贴片电阻,190.07,191.62
170.87,贴片电容,191.13,191.62
170.87,塑封芯片,183.76,191.62
170.87,陶封芯片,186.78,191.62
171.26,贴片电阻,188.04,188.63
171.26,贴片电容,186.27,188.63
171.26,塑封芯片,181.9,188.63
171.26,陶封芯片,186.27,188.63
171.65,贴片电阻,191.24,191.66
171.65,贴片电容,191.1,191.66
171.65,塑封芯片,184.29,191.66
171.65,陶封芯片,186.72,191.66
172.04,贴片电阻,189.33,191.15
172.04,贴片电容,188.19,191.15
172.04,塑封芯片,184.17,191.15
172.04,陶封芯片,187.63,191.15
172.43,贴片电阻,188.23,189.26
172.43,贴片电容,188.85,189.26
172.43,塑封芯片,181.95,189.26
172.43,陶封芯片,185.0,189.26
172.83,贴片电阻,187.42,188.44
172.83,贴片电容,186.77,188.44
172.83,塑封芯片,182.41,188.44
172.83,陶封芯片,185.29,188.44
173.22,贴片电阻,182.69,184.13
173.22,贴片电容,183.86,184.13
173.22,塑封芯片,177.76,184.13
173.22,陶封芯片,181.21,184.13
173.61,贴片电阻,188.22,190.69
173.61,贴片电容,188.12,190.69
173.61,塑封芯片,184.75,190.69
173.61,陶封芯片,188.38,190.69
174.0,贴片电阻,191.42,191.49
174.0,贴片电容,188.6,191.49
174.0,塑封芯片,185.38,191.49
174.0,陶封芯片,186.52,191.49
174.39,贴片电阻,191.35,191.49
174.39,贴片电容,189.72,191.49
174.39,塑封芯片,184.51,191.49
174.39,陶封芯片,187.79,191.49
174.78,贴片电阻,190.87,191.79
174.78,贴片电容,188.81,191.79
174.78,塑封芯片,184.94,191.79
174.78,陶封芯片,188.5,191.79
175.17,贴片电阻,191.41,194.0
175.17,贴片电容,191.13,194.0
175.17,塑封芯片,186.52,194.0
175.17,陶封芯片,190.16,194.0
175.56,贴片电阻,184.71,186.58
175.56,贴片电容,186.28,186.58
175.56,塑封芯片,181.22,186.58
175.56,陶封芯片,182.27,186.58
175.95,贴片电阻,185.57,187.75
175.95,贴片电容,187.39,187.75
175.95,塑封芯片,180.34,187.75
175.95,陶封芯片,182.88,187.75
176.34,贴片电阻,188.46,189.94
176.34,贴片电容,188.05,189.94
176.34,塑封芯片,183.78,189.94
176.34,陶封芯片,187.32,189.94
176.74,贴片电阻,186.2,188.46
176.74,贴片电容,188.2,188.46
176.74,塑封芯片,181.08,188.46
176.74,陶封芯片,183.54,188.46
177.13,贴片电阻,188.66,189.59
177.13,贴片电容,188.62,189.59
177.13,塑封芯片,184.0,189.59
177.13,陶封芯片,185.54,189.59
177.52,贴片电阻,184.27,184.96
177.52,贴片电容,183.04,184.96
177.52,塑封芯片,178.97,184.96
177.52,陶封芯片,181.33,184.96
177.91,贴片电阻,183.39,184.89
177.91,贴片电容,184.26,184.89
177.91,塑封芯片,177.47,184.89
177.91,陶封芯片,181.83,184.89
178.3,贴片电阻,188.63,190.39
178.3,贴片电容,188.6,190.39
178.3,塑封芯片,183.15,190.39
178.3,陶封芯片,185.56,190.39
178.69,贴片电阻,185.22,187.37
178.69,贴片电容,184.53,187.37
178.69,塑封芯片,180.13,187.37
178.69,陶封芯片,183.47,187.37
179.08,贴片电阻,185.12,185.83
179.08,贴片电容,183.06,185.83
179.08,塑封芯片,179.78,185.83
179.08,陶封芯片,183.71,185.83
179.47,贴片电阻,184.26,186.23
179.47,贴片电容,184.39,186.23
179.47,塑封芯片,180.42,186.23
179.47,陶封芯片,183.77,186.23
179.86,贴片电阻,190.85,193.64
179.86,贴片电容,192.26,193.64
179.86,塑封芯片,187.7,193.64
179.86,陶封芯片,190.92,193.64
180.25,贴片电阻,186.66,186.95
180.25,贴片电容,185.93,186.95
180.25,塑封芯片,180.18,186.95
180.25,陶封芯片,182.05,186.95
180.65,贴片电阻,192.01,192.37
180.65,贴片电容,189.72,192.37
180.65,塑封芯片,184.69,192.37
180.65,陶封芯片,189.41,192.37
181.04,贴片电阻,193.4,194.81
181.04,贴片电容,194.81,194.81
181.04,塑封芯片,188.45,194.81
181.04,陶封芯片,192.8,194.81
181.43,贴片电阻,192.22,194.63
181.43,贴片电容,191.69,194.63
181.43,塑封芯片,188.21,194.63
181.43,陶封芯片,191.67,194.63
181.82,贴片电阻,185.22,185.34
181.82,贴片电容,183.74,185.34
181.82,塑封芯片,177.67,185.34
181.82,陶封芯片,181.9,185.34
182.21,贴片电阻,187.46,187.62
182.21,贴片电容,184.79,187.62
182.21,塑封芯片,182.0,187.62
182.21,陶封芯片,184.23,187.62
182.6,贴片电阻,185.65,187.2
182.6,贴片电容,187.07,187.2
182.6,塑封芯片,181.02,187.2
182.6,陶封芯片,184.54,187.2
182.99,贴片电阻,186.41,187.44
182.99,贴片电容,185.97,187.44
182.99,塑封芯片,180.58,187.44
182.99,陶封芯片,184.35,187.44
183.38,贴片电阻,187.42,189.06
183.38,贴片电容,188.3,189.06
183.38,塑封芯片,181.44,189.06
183.38,陶封芯片,184.37,189.06
183.77,贴片电阻,186.07,186.38
183.77,贴片电容,186.1,186.38
183.77,塑封芯片,180.27,186.38
183.77,陶封芯片,182.69,186.38
184.16,贴片电阻,191.92,193.17
184.16,贴片电容,190.93,193.17
184.16,塑封芯片,188.07,193.17
184.16,陶封芯片,189.08,193.17
184.56,贴片电阻,189.39,191.18
184.56,贴片电容,190.8,191.18
184.56,塑封芯片,183.47,191.18
184.56,陶封芯片,186.85,191.18
184.95,贴片电阻,188.85,189.81
184.95,贴片电容,187.88,189.81
184.95,塑封芯片,183.95,189.81
184.95,陶封芯片,185.17,189.81
185.34,贴片电阻,190.72,192.9
185.34,贴片电容,191.77,192.9
185.34,塑封芯片,185.94,192.9
185.34,陶封芯片,190.47,192.9
185.73,贴片电阻,189.39,190.0
185.73,贴片电容,187.24,190.0
185.73,塑封芯片,182.36,190.0
185.73,陶封芯片,187.11,190.0
186.12,贴片电阻,190.14,190.76
186.12,贴片电容,188.74,190.76
186.12,塑封芯片,184.09,190.76
186.12,陶封芯片,188.22,190.76
186.51,贴片电阻,187.11,187.9
186.51,贴片电容,187.18,187.9
186.51,塑封芯片,182.49,187.9
186.51,陶封芯片,185.47,187.9
186.9,贴片电阻,184.9,187.63
186.9,贴片电容,187.27,187.63
186.9,塑封芯片,180.5,187.63
186.9,陶封芯片,182.83,187.63
187.29,贴片电阻,192.36,195.01
187.29,贴片电容,194.14,195.01
187.29,塑封芯片,187.58,195.01
187.29,陶封芯片,191.36,195.01
187.68,贴片电阻,187.85,190.69
187.68,贴片电容,190.44,190.69
187.68,塑封芯片,183.66,190.69
187.68,陶封芯片,188.54,190.69
188.07,贴片电阻,191.98,194.25
188.07,贴片电容,191.91,194.25
188.07,塑封芯片,188.26,194.25
188.07,陶封芯片,189.67,194.25
188.47,贴片电阻,189.05,190.48
188.47,贴片电容,190.43,190.48
188.47,塑封芯片,183.92,190.48
188.47,陶封芯片,187.02,190.48
188.86,贴片电阻,192.83,195.0
188.86,贴片电容,192.29,195.0
188.86,塑封芯片,187.2,195.0
188.86,陶封芯片,190.8,195.0
189.25,贴片电阻,191.7,193.87
189.25,贴片电容,191.81,193.87
189.25,塑封芯片,186.13,193.87
189.25,陶封芯片,191.32,193.87
189.64,贴片电阻,195.49,195.92
189.64,贴片电容,194.9,195.92
189.64,塑封芯片,188.78,195.92
189.64,陶封芯片,191.52,195.92
190.03,贴片电阻,191.49,194.05
190.03,贴片电容,191.33,194.05
190.03,塑封芯片,186.36,194.05
190.03,陶封芯片,189.45,194.05
190.42,贴片电阻,186.84,187.91
190.42,贴片电容,186.44,187.91
190.42,塑封芯片,181.01,187.91
190.42,陶封芯片,185.73,187.91
190.81,贴片电阻,193.03,195.35
190.81,贴片电容,194.71,195.35
190.81,塑封芯片,190.07,195.35
190.81,陶封芯片,192.02,195.35
191.2,贴片电阻,185.64,188.24
191.2,贴片电容,185.92,188.24
191.2,塑封芯片,180.52,188.24
191.2,陶封芯片,184.34,188.24
191.59,贴片电阻,185.83,188.82
191.59,贴片电容,187.77,188.82
191.59,塑封芯片,183.75,188.82
191.59,陶封芯片,184.16,188.82
191.98,贴片电阻,191.54,194.13
191.98,贴片电容,193.66,194.13
191.98,塑封芯片,186.65,194.13
191.98,陶封芯片,191.21,194.13
192.38,贴片电阻,189.18,190.82
192.38,贴片电容,189.16,190.82
192.38,塑封芯片,184.5,190.82
192.38,陶封芯片,187.04,190.82
192.77,贴片电阻,194.45,196.8
192.77,贴片电容,195.89,196.8
192.77,塑封芯片,190.88,196.8
192.77,陶封芯片,192.38,196.8
193.16,贴片电阻,187.09,189.72
193.16,贴片电容,187.43,189.72
193.16,塑封芯片,183.08,189.72
193.16,陶封芯片,186.98,189.72
193.55,贴片电阻,187.22,189.3
193.55,贴片电容,188.31,189.3
193.55,塑封芯片,183.15,189.3
193.55,陶封芯片,185.36,189.3
193.94,贴片电阻,194.0,194.52
193.94,贴片电容,193.19,194.52
193.94,塑封芯片,187.78,194.52
193.94,陶封芯片,190.52,194.52
194.33,贴片电阻,191.93,193.4
194.33,贴片电容,191.47,193.4
194.33,塑封芯片,187.66,193.4
194.33,陶封芯片,190.21,193.4
194.72,贴片电阻,189.44,191.05
194.72,贴片电容,190.23,191.05
194.72,塑封芯片,183.51,191.05
194.72,陶封芯片,187.09,191.05
195.11,贴片电阻,193.87,196.53
195.11,贴片电容,195.1,196.53
195.11,塑封芯片,190.72,196.53
195.11,陶封芯片,193.4,196.53
195.5,贴片电阻,190.0,192.49
195.5,贴片电容,192.0,192.49
195.5,塑封芯片,185.96,192.49
195.5,陶封芯片,189.48,192.49
195.89,贴片电阻,196.98,197.14
195.89,贴片电容,196.16,197.14
195.89,塑封芯片,189.49,197.14
195.89,陶封芯片,193.36,197.14
196.29,贴片电阻,191.03,191.75
196.29,贴片电容,190.2,191.75
196.29,塑封芯片,184.44,191.75
196.29,陶封芯片,188.94,191.75
196.68,贴片电阻,186.76,188.14
196.68,贴片电容,186.22,188.14
196.68,塑封芯片,180.4,188.14
196.68,陶封芯片,183.56,188.14
197.07,贴片电阻,185.77,188.13
197.07,贴片电容,188.01,188.13
197.07,塑封芯片,181.17,188.13
197.07,陶封芯片,184.63,188.13
197.46,贴片电阻,191.74,194.53
197.46,贴片电容,192.69,194.53
197.46,塑封芯片,187.79,194.53
197.46,陶封芯片,189.84,194.53
197.85,贴片电阻,191.43,193.39
197.85,贴片电容,190.74,193.39
197.85,塑封芯片,185.97,193.39
197.85,陶封芯片,190.12,193.39
198.24,贴片电阻,189.43,189.83
198.24,贴片电容,187.5,189.83
198.24,塑封芯片,182.63,189.83
198.24,陶封芯片,185.65,189.83
198.63,贴片电阻,195.6,197.25
198.63,贴片电容,197.23,197.25
198.63,塑封芯片,192.12,197.25
198.63,陶封芯片,193.22,197.25
199.02,贴片电阻,195.01,195.61
199.02,贴片电容,193.6,195.61
199.02,塑封芯片,189.7,195.61
199.02,陶封芯片,193.19,195.61
199.41,贴片电阻,188.41,190.29
199.41,贴片电容,188.31,190.29
199.41,塑封芯片,182.62,190.29
199.41,陶封芯片,186.42,190.29
199.8,贴片电阻,189.62,191.41
199.8,贴片电容,190.92,191.41
199.8,塑封芯片,184.75,191.41
199.8,陶封芯片,187.22,191.41
200.2,贴片电阻,188.7,191.12
200.2,贴片电容,189.57,191.12
200.2,塑封芯片,183.46,191.12
200.2,陶封芯片,187.63,191.12
200.59,贴片电阻,192.57,192.78
200.59,贴片电容,191.3,192.78
200.59,塑封芯片,186.16,192.78
200.59,陶封芯片,188.24,192.78
200.98,贴片电阻,189.41,190.1
200.98,贴片电容,189.82,190.1
200.98,塑封芯片,182.14,190.1
200.98,陶封芯片,188.03,190.1
201.37,贴片电阻,195.25,195.78
201.37,贴片电容,194.29,195.78
201.37,塑封芯片,190.29,195.78
201.37,陶封芯片,191.29,195.78
201.76,贴片电阻,195.71,196.9
201.76,贴片电容,195.52,196.9
201.76,塑封芯片,190.44,196.9
201.76,陶封芯片,194.77,196.9
202.15,贴片电阻,192.5,195.47
202.15,贴片电容,192.62,195.47
202.15,塑封芯片,189.6,195.47
202.15,陶封芯片,193.43,195.47
202.54,贴片电阻,187.64,189.18
202.54,贴片电容,188.39,189.18
202.54,塑封芯片,184.05,189.18
202.54,陶封芯片,184.48,189.18
202.93,贴片电阻,190.0,190.22
202.93,贴片电容,187.39,190.22
202.93,塑封芯片,183.7,190.22
202.93,陶封芯片,185.73,190.22
203.32,贴片电阻,192.03,192.7
203.32,贴片电容,189.87,192.7
203.32,塑封芯片,185.42,192.7
203.32,陶封芯片,190.51,192.7
203.71,贴片电阻,191.3,191.98
203.71,贴片电容,191.3,191.98
203.71,塑封芯片,185.9,191.98
203.71,陶封芯片,187.79,191.98
204.11,贴片电阻,195.64,198.03
204.11,贴片电容,196.86,198.03
204.11,塑封芯片,192.94,198.03
204.11,陶封芯片,195.08,198.03
204.5,贴片电阻,192.89,193.97
204.5,贴片电容,192.86,193.97
204.5,塑封芯片,188.32,193.97
204.5,陶封芯片,191.01,193.97
204.89,贴片电阻,192.07,194.05
204.89,贴片电容,191.24,194.05
204.89,塑封芯片,187.97,194.05
204.89,陶封芯片,191.23,194.05
205.28,贴片电阻,193.6,195.92
205.28,贴片电容,194.85,195.92
205.28,塑封芯片,189.48,195.92
205.28,陶封芯片,191.45,195.92
205.67,贴片电阻,190.64,191.53
205.67,贴片电容,190.64,191.53
205.67,塑封芯片,183.74,191.53
205.67,陶封芯片,187.59,191.53
206.06,贴片电阻,196.33,198.31
206.06,贴片电容,196.87,198.31
206.06,塑封芯片,191.59,198.31
206.06,陶封芯片,195.75,198.31
206.45,贴片电阻,198.36,198.38
206.45,贴片电容,198.29,198.38
206.45,塑封芯片,191.12,198.38
206.45,陶封芯片,193.86,198.38
206.84,贴片电阻,191.23,192.74
206.84,贴片电容,190.7,192.74
206.84,塑封芯片,186.69,192.74
206.84,陶封芯片,190.07,192.74
207.23,贴片电阻,189.1,189.95
207.23,贴片电容,189.21,189.95
207.23,塑封芯片,183.83,189.95
207.23,陶封芯片,187.37,189.95
207.62,贴片电阻,189.24,190.47
207.62,贴片电容,187.91,190.47
207.62,塑封芯片,184.22,190.47
207.62,陶封芯片,187.81,190.47
208.02,贴片电阻,193.17,195.27
208.02,贴片电容,192.48,195.27
208.02,塑封芯片,188.61,195.27
208.02,陶封芯片,191.34,195.27
208.41,贴片电阻,196.91,198.35
208.41,贴片电容,198.03,198.35
208.41,塑封芯片,192.42,198.35
208.41,陶封芯片,194.53,198.35
208.8,贴片电阻,197.34,197.63
208.8,贴片电容,195.99,197.63
208.8,塑封芯片,189.97,197.63
208.8,陶封芯片,193.91,197.63
209.19,贴片电阻,194.86,195.82
209.19,贴片电容,193.74,195.82
209.19,塑封芯片,188.14,195.82
209.19,陶封芯片,192.15,195.82
209.58,贴片电阻,191.62,193.65
209.58,贴片电容,191.44,193.65
209.58,塑封芯片,185.95,193.65
209.58,陶封芯片,190.06,193.65
209.97,贴片电阻,194.19,195.47
209.97,贴片电容,193.04,195.47
209.97,塑封芯片,190.04,195.47
209.97,陶封芯片,192.01,195.47
210.36,贴片电阻,197.02,200.01
210.36,贴片电容,198.92,200.01
210.36,塑封芯片,192.14,200.01
210.36,陶封芯片,197.68,200.01
210.75,贴片电阻,197.44,199.69
210.75,贴片电容,198.29,199.69
210.75,塑封芯片,192.38,199.69
210.75,陶封芯片,194.99,199.69
211.14,贴片电阻,195.2,197.89
211.14,贴片电容,196.73,197.89
211.14,塑封芯片,190.14,197.89
211.14,陶封芯片,192.94,197.89
211.53,贴片电阻,198.15,200.25
211.53,贴片电容,199.56,200.25
211.53,塑封芯片,192.5,200.25
211.53,陶封芯片,197.21,200.25
211.93,贴片电阻,196.07,198.62
211.93,贴片电容,195.64,198.62
211.93,塑封芯片,191.16,198.62
211.93,陶封芯片,195.8,198.62
212.32,贴片电阻,192.28,195.2
212.32,贴片电容,193.03,195.2
212.32,塑封芯片,189.48,195.2
212.32,陶封芯片,192.61,195.2
212.71,贴片电阻,196.94,199.18
212.71,贴片电容,197.34,199.18
212.71,塑封芯片,193.31,199.18
212.71,陶封芯片,197.13,199.18
213.1,贴片电阻,198.61,200.17
213.1,贴片电容,197.99,200.17
213.1,塑封芯片,192.62,200.17
213.1,陶封芯片,196.21,200.17
213.49,贴片电阻,197.23,198.52
213.49,贴片电容,196.99,198.52
213.49,塑封芯片,191.06,198.52
213.49,陶封芯片,195.76,198.52
213.88,贴片电阻,189.7,191.44
213.88,贴片电容,189.43,191.44
213.88,塑封芯片,186.35,191.44
213.88,陶封芯片,188.84,191.44
214.27,贴片电阻,193.33,194.48
214.27,贴片电容,193.83,194.48
214.27,塑封芯片,188.06,194.48
214.27,陶封芯片,191.2,194.48
214.66,贴片电阻,195.77,197.19
214.66,贴片电容,196.53,197.19
214.66,塑封芯片,191.16,197.19
214.66,陶封芯片,194.88,197.19
215.05,贴片电阻,193.55,196.43
215.05,贴片电容,196.41,196.43
215.05,塑封芯片,190.09,196.43
215.05,陶封芯片,194.35,196.43
215.44,贴片电阻,189.06,191.99
215.44,贴片电容,189.42,191.99
215.44,塑封芯片,185.41,191.99
215.44,陶封芯片,188.21,191.99
215.84,贴片电阻,192.07,193.21
215.84,贴片电容,192.14,193.21
215.84,塑封芯片,185.65,193.21
215.84,陶封芯片,190.26,193.21
216.23,贴片电阻,191.93,194.29
216.23,贴片电容,191.87,194.29
216.23,塑封芯片,188.19,194.29
216.23,陶封芯片,190.9,194.29
216.62,贴片电阻,195.93,198.03
216.62,贴片电容,197.37,198.03
216.62,塑封芯片,191.39,198.03
216.62,陶封芯片,195.51,198.03
217.01,贴片电阻,192.46,194.57
217.01,贴片电容,191.98,194.57
217.01,塑封芯片,188.45,194.57
217.01,陶封芯片,192.52,194.57
217.4,贴片电阻,189.4,192.29
217.4,贴片电容,192.05,192.29
217.4,塑封芯片,185.49,192.29
217.4,陶封芯片,189.82,192.29
217.79,贴片电阻,191.98,194.55
217.79,贴片电容,193.95,194.55
217.79,塑封芯片,188.97,194.55
217.79,陶封芯片,189.96,194.55
218.18,贴片电阻,193.88,195.33
218.18,贴片电容,194.86,195.33
218.18,塑封芯片,188.4,195.33
218.18,陶封芯片,192.53,195.33
218.57,贴片电阻,197.6,198.96
218.57,贴片电容,197.28,198.96
218.57,塑封芯片,192.26,198.96
